date,shift,класа +15мм,гранодиорити,дайки,шисти,класа +12.5мм
2025-05-01,1,0.2,0.625,0.328,0.047,
2025-05-01,2,0.8,0.783,0.196,0.021,
2025-05-01,3,0.7,0.73,0.208,0.062,
2025-05-02,1,0.5,0.762,0.174,0.064,
2025-05-02,2,0.6,0.655,0.298,0.047,
2025-05-02,3,0.9,0.626,0.278,0.096,
2025-05-03,1,0.8,0.751,0.167,0.082,
2025-05-03,2,0.6,0.643,0.288,0.069,
2025-05-03,3,0.6,0.642,0.27,0.088,
2025-05-04,1,0.8,0.611,0.306,0.083,
2025-05-04,2,0.9,0.554,0.341,0.105,
2025-05-04,3,0.4,0.615,0.294,0.091,
2025-05-05,1,0.4,0.662,0.271,0.067,
2025-05-05,2,0.7,0.694,0.254,0.052,
2025-05-05,3,0.5,0.571,0.391,0.038,
2025-05-06,1,0.4,0.579,0.327,0.094,
2025-05-06,2,0.5,0.632,0.263,0.105,
2025-05-06,3,0.5,0.576,0.302,0.122,
2025-05-07,1,0.9,0.531,0.392,0.077,
2025-05-07,2,1.9,0.546,0.334,0.12,
2025-05-07,3,0.4,0.533,0.384,0.083,
2025-05-08,1,0.6,0.628,0.292,0.08,
2025-05-08,2,0.9,0.52,0.353,0.127,
2025-05-08,3,0.6,0.588,0.362,0.05,
2025-05-09,1,0.6,0.525,0.383,0.092,
2025-05-09,2,1.0,0.534,0.328,0.138,
2025-05-09,3,0.3,0.66,0.234,0.106,
2025-05-10,1,0.6,0.634,0.289,0.077,
2025-05-10,2,0.5,0.553,0.34,0.107,
2025-05-10,3,0.2,0.625,0.22,0.155,
2025-05-11,1,0.5,0.687,0.221,0.092,
2025-05-11,2,0.4,0.739,0.217,0.044,
2025-05-11,3,0.5,0.456,0.359,0.185,
2025-05-12,1,0.5,0.557,0.318,0.125,
2025-05-12,2,0.5,0.51,0.402,0.088,
2025-05-12,3,0.5,0.493,0.34,0.167,
2025-05-13,1,0.3,0.44,0.438,0.122,
2025-05-13,2,0.4,0.446,0.543,0.011,
2025-05-13,3,0.4,0.422,0.526,0.052,
2025-05-14,1,0.5,0.521,0.293,0.186,
2025-05-14,2,0.8,0.55,0.308,0.142,
2025-05-14,3,0.5,0.559,0.355,0.086,
2025-05-15,1,0.2,0.479,0.437,0.084,
2025-05-15,2,0.6,0.451,0.502,0.047,
2025-05-15,3,0.5,0.581,0.321,0.098,
2025-05-16,1,0.4,0.479,0.489,0.032,
2025-05-16,2,0.3,0.6,0.298,0.102,
2025-05-16,3,0.7,0.604,0.319,0.077,
2025-05-17,1,0.6,0.634,0.323,0.043,
2025-05-17,2,0.6,0.598,0.323,0.079,
2025-05-17,3,1.4,0.587,0.324,0.089,
2025-05-18,1,0.7,0.599,0.37,0.031,
2025-05-18,2,0.8,0.56,0.401,0.039,
2025-05-18,3,1.2,0.393,0.469,0.138,
2025-05-19,1,0.4,0.514,0.22,0.266,
2025-05-19,2,0.9,0.486,0.376,0.138,
2025-05-19,3,0.8,0.521,0.34,0.139,
2025-05-20,1,1.0,0.621,0.265,0.114,
2025-05-20,2,1.7,0.612,0.318,0.07,
2025-05-20,3,1.2,0.587,0.287,0.126,
2025-05-21,1,1.2,0.692,0.261,0.047,
2025-05-21,2,2.5,0.656,0.28,0.064,
2025-05-21,3,1.8,0.49,0.414,0.096,
2025-05-22,1,1.4,0.458,0.464,0.078,
2025-05-22,2,2.3,0.609,0.308,0.083,
2025-05-22,3,1.5,0.651,0.297,0.052,
2025-05-23,1,1.3,0.594,0.356,0.05,
2025-05-23,2,0.9,0.547,0.358,0.095,
2025-05-23,3,1.0,0.409,0.558,0.033,
2025-05-24,1,0.9,0.537,0.369,0.094,
2025-05-24,2,0.9,0.589,0.341,0.07,
2025-05-24,3,1.0,0.701,0.237,0.062,
2025-05-25,1,1.7,0.702,0.24,0.058,
2025-05-25,2,0.4,0.652,0.244,0.104,
2025-05-25,3,0.6,0.743,0.206,0.051,
2025-05-26,1,1.4,0.658,0.275,0.067,
2025-05-26,2,0.8,0.579,0.321,0.1,
2025-05-26,3,1.7,0.631,0.293,0.076,
2025-05-27,1,5.4,0.684,0.233,0.083,
2025-05-27,2,2.6,0.663,0.269,0.068,
2025-05-27,3,1.5,0.576,0.371,0.053,
2025-05-28,1,2.1,0.568,0.309,0.123,
2025-05-28,2,2.8,0.532,0.43,0.038,
2025-05-28,3,1.1,0.549,0.363,0.088,
2025-05-29,1,0.6,0.582,0.287,0.131,
2025-05-29,2,0.9,0.616,0.28,0.104,
2025-05-29,3,1.1,0.619,0.286,0.095,
2025-05-30,1,0.6,0.485,0.367,0.148,
2025-05-30,2,0.6,0.584,0.305,0.111,
2025-05-30,3,1.0,0.656,0.261,0.083,
2025-05-31,1,0.8,0.471,0.489,0.04,
2025-05-31,2,0.3,0.538,0.323,0.139,
2025-05-31,3,1.0,0.444,0.482,0.074,
2025-06-01,1,0.7,0.485,0.485,0.03,7.0
2025-06-01,2,0.8,0.482,0.442,0.076,5.3
2025-06-01,3,0.7,0.577,0.349,0.074,5.3
2025-06-02,1,0.8,0.596,0.368,0.036,5.9
2025-06-02,2,0.6,0.572,0.394,0.034,5.6
2025-06-02,3,0.7,0.601,0.309,0.09,6.0
2025-06-03,1,0.5,0.69,0.206,0.104,5.3
2025-06-03,2,0.7,0.674,0.236,0.09,4.9
2025-06-03,3,0.8,0.607,0.274,0.119,6.6
2025-06-04,1,0.5,0.676,0.241,0.083,4.6
2025-06-04,2,0.8,0.647,0.278,0.075,6.1
2025-06-04,3,0.7,0.711,0.223,0.066,5.8
2025-06-05,1,0.5,0.686,0.261,0.053,6.5
2025-06-05,2,1.7,0.616,0.318,0.066,7.6
2025-06-05,3,1.0,0.578,0.4,0.022,6.2
2025-06-06,1,0.8,0.574,0.349,0.077,6.4
2025-06-06,2,1.5,0.638,0.277,0.085,7.3
2025-06-06,3,0.5,0.618,0.277,0.105,5.8
2025-06-07,1,0.9,0.562,0.35,0.088,6.6
2025-06-07,2,0.7,0.545,0.319,0.136,8.9
2025-06-07,3,0.9,0.487,0.389,0.124,6.5
2025-06-08,1,1.0,0.586,0.297,0.117,5.0
2025-06-08,2,0.6,0.507,0.367,0.126,8.2
2025-06-08,3,1.0,0.629,0.356,0.015,6.6
2025-06-09,1,1.1,0.695,0.233,0.072,6.6
2025-06-09,2,0.7,0.562,0.305,0.133,7.0
2025-06-09,3,0.6,0.722,0.238,0.04,6.5
2025-06-10,1,0.5,0.777,0.168,0.055,7.1
2025-06-10,2,0.7,0.682,0.275,0.043,6.6
2025-06-10,3,0.9,0.724,0.22,0.056,6.5
2025-06-11,1,1.2,0.671,0.232,0.097,8.9
2025-06-11,2,0.9,0.727,0.239,0.034,7.3
2025-06-11,3,1.1,0.725,0.227,0.048,6.3
2025-06-12,1,0.3,0.59,0.321,0.089,6.6
2025-06-12,2,0.8,0.574,0.405,0.021,7.2
2025-06-12,3,0.6,0.606,0.329,0.065,5.8
2025-06-13,1,0.5,0.649,0.267,0.084,6.1
2025-06-13,2,0.6,0.709,0.243,0.048,5.6
2025-06-13,3,0.5,0.54,0.427,0.033,7.1
2025-06-14,1,0.6,0.659,0.288,0.053,6.0
2025-06-14,2,0.4,0.718,0.23,0.052,5.5
2025-06-14,3,0.6,0.74,0.223,0.037,6.8
2025-06-15,1,1.1,0.651,0.296,0.053,5.3
2025-06-15,2,0.5,0.691,0.281,0.028,4.4
2025-06-15,3,0.6,0.68,0.291,0.029,6.3
2025-06-16,1,0.5,0.767,0.203,0.03,6.1
2025-06-16,2,0.9,0.581,0.381,0.038,4.9
2025-06-16,3,1.0,0.702,0.271,0.027,6.6
2025-06-17,1,0.9,0.666,0.298,0.036,5.7
2025-06-17,2,0.9,0.615,0.34,0.045,5.7
2025-06-17,3,1.1,0.631,0.312,0.057,6.0
2025-06-18,1,0.7,0.781,0.18,0.039,5.6
2025-06-18,2,0.9,0.656,0.262,0.082,7.7
2025-06-18,3,0.7,0.632,0.342,0.026,6.0
2025-06-19,1,0.6,0.694,0.278,0.028,5.6
2025-06-19,2,0.9,0.738,0.227,0.035,7.7
2025-06-19,3,0.8,0.609,0.338,0.053,7.0
2025-06-20,1,0.5,0.761,0.205,0.034,6.8
2025-06-20,2,1.3,0.671,0.274,0.055,8.1
2025-06-20,3,1.0,0.651,0.298,0.051,9.3
2025-06-21,1,1.0,0.729,0.239,0.032,8.5
2025-06-21,2,1.3,0.617,0.325,0.058,7.4
2025-06-21,3,1.0,0.848,0.128,0.024,7.3
2025-06-22,1,1.3,0.735,0.203,0.062,6.7
2025-06-22,2,0.7,0.718,0.269,0.013,6.0
2025-06-22,3,0.8,0.845,0.122,0.033,7.0
2025-06-23,1,0.8,0.709,0.25,0.041,7.1
2025-06-23,2,0.5,0.72,0.233,0.047,7.7
2025-06-23,3,0.7,0.854,0.098,0.048,6.4
2025-06-24,1,1.1,0.638,0.288,0.074,6.6
2025-06-24,2,0.4,0.741,0.184,0.075,5.9
2025-06-24,3,0.7,0.786,0.138,0.076,5.7
2025-06-25,1,0.8,0.798,0.166,0.036,7.2
2025-06-25,2,0.6,0.681,0.278,0.041,6.4
2025-06-25,3,0.8,0.8,0.162,0.038,7.0
2025-06-26,1,1.0,0.772,0.153,0.075,7.6
2025-06-26,2,1.6,0.563,0.421,0.016,9.4
2025-06-26,3,1.5,0.382,0.584,0.034,5.1
2025-06-27,1,0.6,0.64,0.288,0.072,7.5
2025-06-27,2,,,,,
2025-06-27,3,,,,,
2025-06-28,1,,,,,
2025-06-28,2,,,,,
2025-06-28,3,,,,,
2025-06-29,1,,,,,
2025-06-29,2,,,,,
2025-06-29,3,,,,,
2025-06-30,1,,,,,
2025-06-30,2,,,,,
2025-06-30,3,,,,,
2025-06-31,1,,,,,
2025-06-31,2,,,,,
2025-06-31,3,,,,,
