trial_number,value,state,datetime_start,datetime_complete,duration,param_Ore,param_WaterMill,param_WaterZumpf,param_PressureHC,param_DensityHC,param_MotorAmp,param_Shisti,param_Daiki
0,51.756046295166016,1,2025-07-14 09:51:21.316366,2025-07-14 09:51:21.321878,0.005512,180.34524982932336,10.3766211402537,176.02801296204126,0.49564646244157373,1637.1829938550386,189.92552551976294,0.17666426016585046,0.24259639260549967
1,52.49713134765625,1,2025-07-14 09:51:21.322881,2025-07-14 09:51:21.324885,0.002004,171.7733371431028,17.431144809381237,191.74950633860038,0.43222847697317834,1670.6219452195974,201.28122840547266,0.20137071185211047,0.3690536094692798
2,50.61146926879883,1,2025-07-14 09:51:21.325388,2025-07-14 09:51:21.326949,0.001561,185.6714049943014,7.723079816137116,225.2732678981157,0.3828292971124353,1785.499522896958,193.94797606649544,0.2596130011369967,0.16910185090893654
3,49.58695983886719,1,2025-07-14 09:51:21.326949,2025-07-14 09:51:21.329506,0.002557,187.05434465853133,10.61171053441442,174.06053994814013,0.47636511547864396,1794.3524414431777,195.42299110096266,0.21127027550133737,0.325817827128686
4,50.90945816040039,1,2025-07-14 09:51:21.329506,2025-07-14 09:51:21.331515,0.002009,184.28128217147963,7.466421131637086,246.84212645533,0.32714506987271,1713.3274725226188,183.482567021429,0.17152879793360498,0.20072101228835415
5,51.723838806152344,1,2025-07-14 09:51:21.332520,2025-07-14 09:51:21.334536,0.002016,169.2497099722881,16.637441234480313,226.01030285079514,0.448748862224841,1715.0057006514562,204.82170752842518,0.09849573024762213,0.36809389826811056
6,50.13733673095703,1,2025-07-14 09:51:21.335541,2025-07-14 09:51:21.337097,0.001556,188.57576449430894,12.994091330672415,227.84498981617241,0.41375442025210096,1738.603578050149,208.83209978635244,0.19145278181678338,0.14405103158747753
7,53.074283599853516,1,2025-07-14 09:51:21.337097,2025-07-14 09:51:21.340057,0.00296,167.72368465178124,17.814436867341822,178.84984432777392,0.37852222529682233,1623.5051288277612,206.4056638538612,0.12570375620055851,0.2417202019185506
8,50.70466232299805,1,2025-07-14 09:51:21.340057,2025-07-14 09:51:21.342058,0.002001,185.49514820165246,18.09891050080551,244.22856496481552,0.39365166314137623,1788.146145313956,194.87225932068398,0.060196720701985354,0.34465693893229665
9,50.83865737915039,1,2025-07-14 09:51:21.342058,2025-07-14 09:51:21.345075,0.003017,160.7349128803398,12.844625965296746,219.19464898024412,0.4650398070527626,1795.9379714615748,208.5439967993107,0.06917937192667938,0.30221929212006016
10,52.96470642089844,1,2025-07-14 09:51:21.345578,2025-07-14 09:51:21.373303,0.027725,199.38414662090796,19.542462128647756,161.12101354724615,0.34393842776764755,1602.5377510795975,219.17721363410317,0.11009658427450024,0.262431213310546
11,52.96470642089844,1,2025-07-14 09:51:21.373303,2025-07-14 09:51:21.400533,0.02723,198.1009119961158,19.45522643190716,161.93653680444532,0.34874772587952657,1609.4261654490915,219.52105430488479,0.12444895615161862,0.2623025060816935
12,53.627376556396484,1,2025-07-14 09:51:21.401036,2025-07-14 09:51:21.426982,0.025946,197.75336045585547,15.375831270342406,192.53083289984113,0.3548457023106592,1603.827224187246,219.95278497028093,0.13586609939794847,0.2377725464341462
13,54.55440902709961,1,2025-07-14 09:51:21.426982,2025-07-14 09:51:21.453070,0.026088,170.36289265669444,15.228991143180492,197.36308190781563,0.3002844914934954,1653.8092568465497,213.24324021015136,0.14361018081302343,0.10927679020871761
14,53.62762451171875,1,2025-07-14 09:51:21.453070,2025-07-14 09:51:21.479786,0.026716,193.3312179280049,14.94304877352096,200.23362839896254,0.30190495932601275,1659.9647732784815,213.9875190259431,0.15040303693995893,0.10786889449514914
15,53.93349075317383,1,2025-07-14 09:51:21.480289,2025-07-14 09:51:21.506913,0.026624,174.61794982220275,14.614240333434447,202.9676877678887,0.3011862391479685,1659.8730135569317,213.7059696887304,0.24469311043482897,0.10003610013036046
16,53.76597213745117,1,2025-07-14 09:51:21.506913,2025-07-14 09:51:21.533701,0.026788,174.22517559666335,14.618223340721013,212.01876710438705,0.3109922118170064,1673.452983475431,212.71026942424783,0.27738262042643613,0.10960732964790892
17,51.971221923828125,1,2025-07-14 09:51:21.534203,2025-07-14 09:51:21.560299,0.026096,177.26634849353115,11.068167279421477,207.46141041563484,0.32240028230246365,1690.4701243187526,212.71911812387833,0.24291279993595621,0.14861986498392746
18,53.32899856567383,1,2025-07-14 09:51:21.560299,2025-07-14 09:51:21.587044,0.026745,163.16574673245822,14.132292810039436,196.01624427293413,0.35814594244243847,1646.3584836495047,201.5617359227743,0.2286459748742879,0.19700116742367696
19,50.9780387878418,1,2025-07-14 09:51:21.587044,2025-07-14 09:51:21.614242,0.027198,165.5748539250703,16.15377832589746,184.4774066177943,0.32558186740081463,1745.3036550140005,214.12322237040533,0.28228784981767646,0.10151055597859757
20,52.401859283447266,1,2025-07-14 09:51:21.614762,2025-07-14 09:51:21.640992,0.02623,178.7842492392878,5.563108769560486,213.0883907002846,0.30366176612005746,1684.089772068507,180.09280558798253,0.15864960172168002,0.1370798720976442
21,53.45077133178711,1,2025-07-14 09:51:21.640992,2025-07-14 09:51:21.668217,0.027225,172.59719336828755,13.915634728067829,207.2253835635598,0.3145165472647106,1666.8221552597404,211.6878633444144,0.29467870788888784,0.11802340875310133
22,53.94169998168945,1,2025-07-14 09:51:21.668719,2025-07-14 09:51:21.695462,0.026743,173.79836062194101,11.801682565822253,214.3738958630901,0.30186717301340066,1644.1041340996426,215.7847535644575,0.2648057133383802,0.1760412337381277
23,53.485130310058594,1,2025-07-14 09:51:21.696465,2025-07-14 09:51:21.723203,0.026738,174.391613704788,11.615095432857894,201.7296771874032,0.33741891074609437,1644.3568532639008,216.7056638740653,0.24358600898985688,0.18711322827248728
24,53.557350158691406,1,2025-07-14 09:51:21.723203,2025-07-14 09:51:21.783671,0.060468,181.3413492745809,8.720216146817346,234.10463606663137,0.30151951045119985,1627.4968571970637,208.3541191832099,0.2221014484669167,0.16755938977537305
25,54.53095245361328,1,2025-07-14 09:51:21.784675,2025-07-14 09:51:21.811999,0.027324,169.1684203172374,11.76090527704874,218.10665640711574,0.36143630072597055,1654.998857113289,216.17656047167787,0.2532330172327035,0.13251379981383204
26,54.236934661865234,1,2025-07-14 09:51:21.812505,2025-07-14 09:51:21.839217,0.026712,168.84478181874107,9.611054181423679,214.79942193444498,0.36916377256876354,1623.1217399783925,216.59892333721467,0.2597403978003067,0.21681565721103158
27,54.11634826660156,1,2025-07-14 09:51:21.840221,2025-07-14 09:51:21.866852,0.026631,168.31170090182115,9.594875655389808,236.28080989928296,0.37171261919805176,1624.6088066649688,216.78747996858152,0.08940882113905929,0.22296492188868697
28,53.87527847290039,1,2025-07-14 09:51:21.867852,2025-07-14 09:51:21.895023,0.027171,164.88609872330053,8.97339499057177,218.2630024890565,0.40550668859266703,1617.5058637646803,210.27943538328367,0.19303934070298312,0.3976736871804523
29,54.65088653564453,1,2025-07-14 09:51:21.895527,2025-07-14 09:51:21.921701,0.026174,170.53922865480652,5.773215994306638,221.84269640570315,0.36344188910482805,1636.5585555246387,206.17376065658323,0.1781107269539525,0.2855328938389493
30,52.85148620605469,1,2025-07-14 09:51:21.921701,2025-07-14 09:51:21.950891,0.02919,170.5919719273692,7.392256404803322,237.56064693276323,0.4988510407860478,1699.240295261864,204.32389378439274,0.1827740660342513,0.2862269803119342
31,53.797855377197266,1,2025-07-14 09:51:21.950891,2025-07-14 09:51:21.980206,0.029315,166.4480118586517,5.697501411089612,221.50980087331754,0.36686474823689386,1639.170517428747,216.38365427644788,0.14131338863721338,0.2994757786751461
32,53.7292366027832,1,2025-07-14 09:51:21.980206,2025-07-14 09:51:22.008855,0.028649,162.14790679461782,6.415554720884213,229.25935203401934,0.3909417071161175,1653.6695539823984,198.31104882420001,0.16920209274622,0.12918551384795462
33,54.1543083190918,1,2025-07-14 09:51:22.008855,2025-07-14 09:51:22.038087,0.029232,170.60806574520427,9.72011042444426,212.16292242393567,0.41625759652947514,1630.4992076928709,210.5166849870561,0.2079657158931295,0.2161656408520235
34,52.11343765258789,1,2025-07-14 09:51:22.038087,2025-07-14 09:51:22.066763,0.028676,177.40111350144034,13.391556367182346,187.73714845386962,0.36420842280558746,1682.2992574454786,206.16960596328684,0.26177953555988553,0.15944503064906854
35,53.99243927001953,1,2025-07-14 09:51:22.066763,2025-07-14 09:51:22.096068,0.029305,163.98847092066927,12.157495782274395,221.8769271735559,0.38336375140119483,1612.254891717085,188.75776305645394,0.2952247379222559,0.28129356025487834
36,52.21220016479492,1,2025-07-14 09:51:22.096068,2025-07-14 09:51:22.125282,0.029214,181.41218113875888,8.47541318674891,196.43841151892516,0.43263304238055716,1637.1087898142878,202.40676259901363,0.2256862110435398,0.3272805766604398
37,53.31244659423828,1,2025-07-14 09:51:22.125790,2025-07-14 09:51:22.155928,0.030138,169.35115817068777,10.798917122177304,231.32779454413475,0.34027949452799744,1671.232471403334,197.6563903429273,0.16241682126237136,0.12607289382799325
38,52.76893615722656,1,2025-07-14 09:51:22.155928,2025-07-14 09:51:22.187020,0.031092,167.05530407079374,9.99118345871375,205.8031985711635,0.377965500593644,1715.5359987592965,214.89804567949457,0.27729291189718674,0.21945153992306624
39,54.74970626831055,1,2025-07-14 09:51:22.187020,2025-07-14 09:51:22.218867,0.031847,170.90539823467563,6.450601848730114,223.33381976133882,0.33157347809153825,1651.7185492883787,217.94459085514222,0.19858725029116753,0.15431725041938354
40,54.57875442504883,1,2025-07-14 09:51:22.219374,2025-07-14 09:51:22.248039,0.028665,171.3589406957992,7.392464521644369,242.34021890671175,0.33329100479653073,1653.98724692508,218.546896306699,0.1826670999295625,0.1626927586816422
41,53.96054458618164,1,2025-07-14 09:51:22.248039,2025-07-14 09:51:22.307474,0.059435,172.27619361314567,6.697819430703283,241.74832497752624,0.33330329024780014,1651.643614441328,219.35018944976193,0.18392979206748153,0.1574740896196513
42,54.2036247253418,1,2025-07-14 09:51:22.308069,2025-07-14 09:51:22.340555,0.032486,176.19242964616782,6.7423213048594475,225.99314234340943,0.3198992871121472,1661.925456949952,217.80381895508486,0.2037870195155409,0.14133050685658904
43,53.40971755981445,1,2025-07-14 09:51:22.341555,2025-07-14 09:51:22.370260,0.028705,171.21740338594103,5.201749828484971,246.6361132500188,0.350207061625961,1677.728637817628,210.38670610767582,0.17360512044440046,0.17659047810963766
44,53.769317626953125,1,2025-07-14 09:51:22.370260,2025-07-14 09:51:22.400973,0.030713,160.26770021372062,8.039049366513515,240.1870448634692,0.3314731919496436,1637.1412222265492,217.96627820805796,0.15087525751377262,0.12072460455782806
45,53.066280364990234,1,2025-07-14 09:51:22.400973,2025-07-14 09:51:22.430256,0.029283,169.82535152697218,6.015812609474201,248.62341796834653,0.34456639513337395,1695.1411278191704,206.91628668981312,0.21499172585757356,0.15200346436741718
46,53.151649475097656,1,2025-07-14 09:51:22.430256,2025-07-14 09:51:22.459867,0.029611,167.4284693137197,7.543980793945718,223.1482411886136,0.3569850502555549,1710.1138448625966,215.12326074684552,0.1968096180553827,0.1345399059972733
47,54.553401947021484,1,2025-07-14 09:51:22.459867,2025-07-14 09:51:22.489111,0.029244,172.70457814147318,16.382163954627806,218.61734075259918,0.31409995256598344,1658.3750416432795,203.81914522726711,0.13062283558298382,0.26253114736478805
48,54.69270706176758,1,2025-07-14 09:51:22.490115,2025-07-14 09:51:22.519332,0.029217,175.41978856170334,17.09006599465615,226.8648643788216,0.31585362421248614,1667.4563284254918,203.818485748792,0.1300784112813157,0.2538517233946912
49,54.24483871459961,1,2025-07-14 09:51:22.520336,2025-07-14 09:51:22.550593,0.030257,175.17174504007667,18.368014481401705,232.30022154419305,0.3272521812622329,1667.7367957049096,192.96166262900994,0.11499466244199408,0.2502983203770336
50,50.44009017944336,1,2025-07-14 09:51:22.551096,2025-07-14 09:51:22.580926,0.02983,183.32654974556712,17.024319704612,228.32509450283473,0.3117963808340215,1733.9190622567207,200.2856865969638,0.0946976067473777,0.311409938026189
51,54.497764587402344,1,2025-07-14 09:51:22.580926,2025-07-14 09:51:22.610084,0.029158,172.26873510307044,15.711808291860244,224.98308174565597,0.3133971073360689,1650.638065691203,205.42140653629002,0.13379093859911947,0.2659368267465693
52,53.65779113769531,1,2025-07-14 09:51:22.610084,2025-07-14 09:51:22.639746,0.029662,179.5715723677748,17.47065761829525,209.1626624775036,0.32021284201479455,1664.1864781032023,203.12956942451623,0.11272588329095959,0.23551350466315019
53,50.950740814208984,1,2025-07-14 09:51:22.640258,2025-07-14 09:51:22.669423,0.029165,173.08361245234798,18.47284523498319,169.2227982896909,0.33200757335318365,1777.1426949500267,207.70769791068275,0.15050597855759357,0.2826908337894151
54,54.72770690917969,1,2025-07-14 09:51:22.669423,2025-07-14 09:51:22.701116,0.031693,176.19988093069506,16.623619000935722,217.98789620095945,0.3096788585280547,1631.8975381980945,197.92265745712436,0.12850027321366314,0.25259457283190506
55,53.896446228027344,1,2025-07-14 09:51:22.701116,2025-07-14 09:51:22.730971,0.029855,175.76527468127796,15.59234863671426,198.75360551630285,0.3083441911848373,1629.617634394576,198.05725968395296,0.14290174464473848,0.19717381908534484
56,53.0732536315918,1,2025-07-14 09:51:22.730971,2025-07-14 09:51:22.761168,0.030197,177.84328259199373,18.90641282342154,190.56894923021258,0.31860091823428094,1616.6853475528167,193.0670215467596,0.11998496560232386,0.24807755932837472
57,53.89583969116211,1,2025-07-14 09:51:22.761671,2025-07-14 09:51:22.790949,0.029278,189.53907133690566,16.983799419436917,243.4154526776849,0.344458177895363,1635.2923426431425,200.42761070965267,0.10345931547933998,0.23576825030466003
58,54.377601623535156,1,2025-07-14 09:51:22.791950,2025-07-14 09:51:22.820131,0.028181,171.31950863650016,5.0119196414173235,234.8772631429327,0.30814044407120844,1643.7800976024935,195.50457424652964,0.0725634200544019,0.27066267739284616
59,54.05068588256836,1,2025-07-14 09:51:22.821634,2025-07-14 09:51:22.850779,0.029145,176.277468677964,15.058855724791647,209.64339783508248,0.32558784652277756,1601.7062959664665,212.56651481939247,0.16461552606204588,0.20666602702256467
60,52.32231903076172,1,2025-07-14 09:51:22.850779,2025-07-14 09:51:22.881084,0.030305,174.27497344872194,7.101319094962166,202.7735427907634,0.4755014583631739,1647.4497589669243,189.7900881344781,0.18856907447533708,0.32401265731219026
61,54.6076545715332,1,2025-07-14 09:51:22.881084,2025-07-14 09:51:22.911259,0.030175,173.50884346082822,16.4084177657186,216.88118397385347,0.316246946084272,1658.4829754826153,204.56822380496723,0.12887746649712598,0.2572216804272173
62,53.735687255859375,1,2025-07-14 09:51:22.911763,2025-07-14 09:51:22.940470,0.028707,173.29146828478002,16.071074790175302,221.39466571453153,0.33608450183031807,1675.4277094550268,201.51925820935224,0.12654735356019076,0.29268235813359306
63,52.34306716918945,1,2025-07-14 09:51:22.941470,2025-07-14 09:51:22.971702,0.030232,178.60885021805845,16.681256519840257,215.69660694557675,0.30715380893714045,1688.2327757448334,218.4968492894535,0.17857843222103423,0.2560461876080899
64,54.933589935302734,1,2025-07-14 09:51:22.971702,2025-07-14 09:51:23.002358,0.030656,170.01827956211184,17.845529360705704,230.33760891232725,0.3284748374328083,1641.195870334615,196.34577783397933,0.1565730844789783,0.229270099257573
65,53.92149353027344,1,2025-07-14 09:51:23.002358,2025-07-14 09:51:23.032685,0.030327,180.36063522132764,17.83225567314455,230.43390366587673,0.35038822672849085,1641.2990740851178,196.36625614956387,0.15610769375487424,0.23292428307410362
66,53.961036682128906,1,2025-07-14 09:51:23.033187,2025-07-14 09:51:23.062787,0.0296,165.94268762013897,19.127681831308117,227.60694737314708,0.32887075474990557,1632.5339224961822,191.66449895782586,0.13810264871998626,0.18765826119702259
67,53.85625076293945,1,2025-07-14 09:51:23.063293,2025-07-14 09:51:23.092010,0.028717,168.68671227261416,19.711920184090154,238.29900609549668,0.31770616329511403,1621.2455377929773,187.5526815086123,0.1705833044038492,0.22802946998370988
68,54.366981506347656,1,2025-07-14 09:51:23.093514,2025-07-14 09:51:23.121718,0.028204,176.8458256283738,17.14077131142598,224.8848905451505,0.33848344172655725,1657.0077290802114,200.0552339039592,0.10672977227327998,0.2734507196789387
69,53.90866470336914,1,2025-07-14 09:51:23.123245,2025-07-14 09:51:23.152359,0.029114,175.13157777180473,6.052383982965801,220.5423636986569,0.3239362113354509,1612.6560433923948,197.1386772880141,0.15622117854900344,0.24512258439374002
70,55.14059066772461,1,2025-07-14 09:51:23.152359,2025-07-14 09:51:23.183705,0.031346,171.46473790843257,18.056240661477908,231.95032613314856,0.34094355265064286,1647.9501905173886,198.5196316009694,0.12121996541640019,0.209264522265152
71,55.14605712890625,1,2025-07-14 09:51:23.183705,2025-07-14 09:51:23.214967,0.031262,170.68166529115774,17.764505607225505,232.25213654788243,0.3406810608545452,1645.9118694711372,199.2854627927674,0.08604360603766431,0.25675373452895084
72,55.04207229614258,1,2025-07-14 09:51:23.214967,2025-07-14 09:51:23.246229,0.031262,170.28732280399618,17.625469597175346,232.70646691584759,0.35418344280845515,1649.3820716301673,198.9583194380225,0.08462224484862582,0.25399702349951897
73,54.23093032836914,1,2025-07-14 09:51:23.247230,2025-07-14 09:51:23.276928,0.029698,168.0264084173815,18.008042711402933,232.31346982842462,0.3537902410686945,1646.1597103964111,194.64362774313886,0.07757549614416591,0.207249222866846
